epoch,loss/pose_dir_loss,loss/pose_rot_loss,loss/pose_scale_loss,loss/pose_trans_loss,loss/total_loss,step,train_stage
0,13.06525993347168,0.925369918346405,22.291221618652344,6.732638359069824,43.01449203491211,9,
0,12.176918983459473,0.8538445830345154,16.031953811645508,10.776776313781738,39.83949279785156,19,
0,,,,,,27,0.0
1,9.82115364074707,1.023937702178955,24.481775283813477,19.669139862060547,54.99600601196289,29,
1,14.541224479675293,0.8667473196983337,0.5341563820838928,1.8421372175216675,17.784265518188477,39,
1,16.001623153686523,1.3863359689712524,15.329139709472656,16.00373649597168,48.72083282470703,49,
1,14.965792655944824,1.4011447429656982,12.556294441223145,10.71826457977295,39.64149856567383,59,
1,,,,,,63,0.0
2,13.472749710083008,1.07468581199646,36.445289611816406,19.765989303588867,70.75871276855469,69,
2,12.048896789550781,1.2988630533218384,70.32057189941406,54.57791519165039,138.24624633789062,79,
2,7.919621467590332,0.9715040922164917,9.84820556640625,2.175307273864746,20.91463851928711,89,
2,,,,,,92,0.0
3,11.350378036499023,0.7282084822654724,7.941951751708984,2.239931583404541,22.260469436645508,99,
3,8.785562515258789,0.749666690826416,9.561030387878418,7.025692462921143,26.121952056884766,109,
3,12.16855525970459,1.3589210510253906,28.690526962280273,42.62917709350586,84.84718322753906,119,
3,,,,,,124,0.0
4,13.64442253112793,0.6195826530456543,31.38604164123535,4.13969087600708,49.789737701416016,129,
4,14.59175968170166,1.1762068271636963,33688.4609375,22523.37890625,56227.609375,139,
4,15.403824806213379,1.5797680616378784,6.472354888916016,13.036439895629883,36.49238586425781,149,
4,,,,,,158,0.0
5,12.984081268310547,1.485733985900879,50.88490295410156,42.11127853393555,107.46600341796875,159,
5,13.156332969665527,0.76363205909729,41.481815338134766,42.25152587890625,97.65330505371094,169,
5,16.896207809448242,1.392441987991333,13.22146224975586,3.992211103439331,35.502323150634766,179,
5,,,,,,186,0.0
6,10.34182357788086,0.7859854102134705,3.7025861740112305,2.0156991481781006,16.846094131469727,189,
6,18.075794219970703,0.7271057963371277,15.641620635986328,9.433527946472168,43.878047943115234,199,
6,9.766756057739258,1.0727019309997559,49.66241455078125,96.30828094482422,156.81015014648438,209,
6,11.963808059692383,0.50187087059021,12.478578567504883,14.344127655029297,39.28838348388672,219,
6,,,,,,220,0.0
7,15.512064933776855,0.5597723126411438,29.775054931640625,24.35498809814453,70.2018814086914,229,
7,17.954524993896484,0.9067262411117554,16.969192504882812,19.486534118652344,55.316978454589844,239,
7,10.639305114746094,0.4532260596752167,18.835824966430664,19.399456024169922,49.32781219482422,249,
7,,,,,,257,0.0
8,11.204093933105469,0.3704507350921631,6.955535411834717,9.092857360839844,27.62293815612793,259,
8,11.649635314941406,0.43283411860466003,21.038320541381836,63.83116149902344,96.95195007324219,269,
8,9.392478942871094,0.950310230255127,6.240001678466797,6.193338871002197,22.7761287689209,279,
8,13.156850814819336,0.4359648823738098,1.93168044090271,2.628530263900757,18.153026580810547,289,
8,12.798707962036133,1.125553846359253,3.5118751525878906,13.757850646972656,31.193988800048828,299,
8,,,,,,301,0.0
9,8.939069747924805,0.2767796516418457,38.20941925048828,62.919403076171875,110.34467315673828,309,
9,12.1132230758667,1.4268813133239746,9.383533477783203,25.00750732421875,47.93114471435547,319,
9,10.999789237976074,0.3152100443840027,10.357608795166016,9.823925971984863,31.496532440185547,329,
9,,,,,,330,0.0
